Kod;Imprezy;Rok;Wartosc;Jednostka miary
0;artystyczno - rozrywkowe;2013;2398;-
0;artystyczno - rozrywkowe;2014;2684;-
0;artystyczno - rozrywkowe;2015;2751;-
0;sportowe;2013;3164;-
0;sportowe;2014;3235;-
0;sportowe;2015;3432;-
1100000000;artystyczno - rozrywkowe;2013;110;-
1100000000;artystyczno - rozrywkowe;2014;130;-
1100000000;artystyczno - rozrywkowe;2015;128;-
1100000000;sportowe;2013;107;-
1100000000;sportowe;2014;121;-
1100000000;sportowe;2015;119;-
1140000000;artystyczno - rozrywkowe;2013;310;-
1140000000;artystyczno - rozrywkowe;2014;371;-
1140000000;artystyczno - rozrywkowe;2015;378;-
1140000000;sportowe;2013;265;-
1140000000;sportowe;2014;225;-
1140000000;sportowe;2015;217;-
2120000000;artystyczno - rozrywkowe;2013;185;-
2120000000;artystyczno - rozrywkowe;2014;214;-
2120000000;artystyczno - rozrywkowe;2015;276;-
2120000000;sportowe;2013;408;-
2120000000;sportowe;2014;354;-
2120000000;sportowe;2015;290;-
2240000000;artystyczno - rozrywkowe;2013;217;-
2240000000;artystyczno - rozrywkowe;2014;256;-
2240000000;artystyczno - rozrywkowe;2015;279;-
2240000000;sportowe;2013;471;-
2240000000;sportowe;2014;470;-
2240000000;sportowe;2015;569;-
3060000000;artystyczno - rozrywkowe;2013;119;-
3060000000;artystyczno - rozrywkowe;2014;140;-
3060000000;artystyczno - rozrywkowe;2015;126;-
3060000000;sportowe;2013;138;-
3060000000;sportowe;2014;129;-
3060000000;sportowe;2015;198;-
3180000000;artystyczno - rozrywkowe;2013;110;-
3180000000;artystyczno - rozrywkowe;2014;118;-
3180000000;artystyczno - rozrywkowe;2015;113;-
3180000000;sportowe;2013;157;-
3180000000;sportowe;2014;274;-
3180000000;sportowe;2015;218;-
3200000000;artystyczno - rozrywkowe;2013;112;-
3200000000;artystyczno - rozrywkowe;2014;130;-
3200000000;artystyczno - rozrywkowe;2015;126;-
3200000000;sportowe;2013;67;-
3200000000;sportowe;2014;68;-
3200000000;sportowe;2015;81;-
3260000000;artystyczno - rozrywkowe;2013;58;-
3260000000;artystyczno - rozrywkowe;2014;60;-
3260000000;artystyczno - rozrywkowe;2015;58;-
3260000000;sportowe;2013;18;-
3260000000;sportowe;2014;13;-
3260000000;sportowe;2015;16;-
4080000000;artystyczno - rozrywkowe;2013;80;-
4080000000;artystyczno - rozrywkowe;2014;68;-
4080000000;artystyczno - rozrywkowe;2015;65;-
4080000000;sportowe;2013;43;-
4080000000;sportowe;2014;67;-
4080000000;sportowe;2015;88;-
4300000000;artystyczno - rozrywkowe;2013;239;-
4300000000;artystyczno - rozrywkowe;2014;262;-
4300000000;artystyczno - rozrywkowe;2015;288;-
4300000000;sportowe;2013;157;-
4300000000;sportowe;2014;223;-
4300000000;sportowe;2015;215;-
4320000000;artystyczno - rozrywkowe;2013;141;-
4320000000;artystyczno - rozrywkowe;2014;151;-
4320000000;artystyczno - rozrywkowe;2015;143;-
4320000000;sportowe;2013;203;-
4320000000;sportowe;2014;195;-
4320000000;sportowe;2015;257;-
5020000000;artystyczno - rozrywkowe;2013;205;-
5020000000;artystyczno - rozrywkowe;2014;239;-
5020000000;artystyczno - rozrywkowe;2015;230;-
5020000000;sportowe;2013;400;-
5020000000;sportowe;2014;357;-
5020000000;sportowe;2015;332;-
5160000000;artystyczno - rozrywkowe;2013;68;-
5160000000;artystyczno - rozrywkowe;2014;80;-
5160000000;artystyczno - rozrywkowe;2015;68;-
5160000000;sportowe;2013;48;-
5160000000;sportowe;2014;69;-
5160000000;sportowe;2015;57;-
6040000000;artystyczno - rozrywkowe;2013;137;-
6040000000;artystyczno - rozrywkowe;2014;130;-
6040000000;artystyczno - rozrywkowe;2015;147;-
6040000000;sportowe;2013;328;-
6040000000;sportowe;2014;419;-
6040000000;sportowe;2015;522;-
6220000000;artystyczno - rozrywkowe;2013;173;-
6220000000;artystyczno - rozrywkowe;2014;176;-
6220000000;artystyczno - rozrywkowe;2015;179;-
6220000000;sportowe;2013;266;-
6220000000;sportowe;2014;176;-
6220000000;sportowe;2015;202;-
6280000000;artystyczno - rozrywkowe;2013;134;-
6280000000;artystyczno - rozrywkowe;2014;159;-
6280000000;artystyczno - rozrywkowe;2015;147;-
6280000000;sportowe;2013;88;-
6280000000;sportowe;2014;75;-
6280000000;sportowe;2015;51;-
